run_name,remove_specialized,apply_polymerization_filter,use_augmentation,neg_data_target,cv_score,macro_accuracy,macro_precision,coverage,per_class_acc_0,per_class_acc_1,per_class_acc_2,confusion_matrix,n_train_xgb,n_train_lookup,n_test,n_voting
spec0_poly0_aug0_neg-none,False,False,False,none,0.8054238012927174,0.7245267061586894,0.7099617295083852,0.843841642228739,0.9020501138952164,0.6228813559322034,0.6486486486486487,"[[792, 76, 10], [82, 147, 7], [9, 4, 24]]",5448,5448,1364,1151
spec0_poly0_aug0_neg-xgb_only,False,False,False,xgb_only,0.8054238012927174,0.7245267061586894,0.7099617295083852,0.843841642228739,0.9020501138952164,0.6228813559322034,0.6486486486486487,"[[792, 76, 10], [82, 147, 7], [9, 4, 24]]",5448,5448,1364,1151
spec0_poly0_aug0_neg-lookup_only,False,False,False,lookup_only,0.8054238012927174,0.7245267061586894,0.7099617295083852,0.843841642228739,0.9020501138952164,0.6228813559322034,0.6486486486486487,"[[792, 76, 10], [82, 147, 7], [9, 4, 24]]",5448,5448,1364,1151
spec0_poly0_aug0_neg-both,False,False,False,both,0.8054238012927174,0.7245267061586894,0.7099617295083852,0.843841642228739,0.9020501138952164,0.6228813559322034,0.6486486486486487,"[[792, 76, 10], [82, 147, 7], [9, 4, 24]]",5448,5448,1364,1151
spec0_poly0_aug1_neg-none,False,False,True,none,0.7704175840527141,0.7327584927432985,0.7291975819203542,0.7741935483870968,0.9052890528905289,0.6519607843137255,0.6410256410256411,"[[736, 68, 9], [65, 133, 6], [13, 1, 25]]",32688,5448,1364,1056
spec0_poly0_aug1_neg-xgb_only,False,False,True,xgb_only,0.7704175840527141,0.7327584927432985,0.7291975819203542,0.7741935483870968,0.9052890528905289,0.6519607843137255,0.6410256410256411,"[[736, 68, 9], [65, 133, 6], [13, 1, 25]]",32688,5448,1364,1056
spec0_poly0_aug1_neg-lookup_only,False,False,True,lookup_only,0.7704175840527141,0.7327584927432985,0.7291975819203542,0.7741935483870968,0.9052890528905289,0.6519607843137255,0.6410256410256411,"[[736, 68, 9], [65, 133, 6], [13, 1, 25]]",32688,5448,1364,1056
spec0_poly0_aug1_neg-both,False,False,True,both,0.7704175840527141,0.7327584927432985,0.7291975819203542,0.7741935483870968,0.9052890528905289,0.6519607843137255,0.6410256410256411,"[[736, 68, 9], [65, 133, 6], [13, 1, 25]]",32688,5448,1364,1056
spec0_poly1_aug0_neg-none,False,True,False,none,0.8054238012927174,0.7245267061586894,0.7099617295083852,0.843841642228739,0.9020501138952164,0.6228813559322034,0.6486486486486487,"[[792, 76, 10], [82, 147, 7], [9, 4, 24]]",5448,5448,1364,1151
spec0_poly1_aug0_neg-xgb_only,False,True,False,xgb_only,0.8054238012927174,0.7245267061586894,0.7099617295083852,0.843841642228739,0.9020501138952164,0.6228813559322034,0.6486486486486487,"[[792, 76, 10], [82, 147, 7], [9, 4, 24]]",5448,5448,1364,1151
spec0_poly1_aug0_neg-lookup_only,False,True,False,lookup_only,0.8054238012927174,0.7245267061586894,0.7099617295083852,0.843841642228739,0.9020501138952164,0.6228813559322034,0.6486486486486487,"[[792, 76, 10], [82, 147, 7], [9, 4, 24]]",5448,5448,1364,1151
spec0_poly1_aug0_neg-both,False,True,False,both,0.8054238012927174,0.7245267061586894,0.7099617295083852,0.843841642228739,0.9020501138952164,0.6228813559322034,0.6486486486486487,"[[792, 76, 10], [82, 147, 7], [9, 4, 24]]",5448,5448,1364,1151
spec0_poly1_aug1_neg-none,False,True,True,none,0.7704175840527141,0.7327584927432985,0.7291975819203542,0.7741935483870968,0.9052890528905289,0.6519607843137255,0.6410256410256411,"[[736, 68, 9], [65, 133, 6], [13, 1, 25]]",32688,5448,1364,1056
spec0_poly1_aug1_neg-xgb_only,False,True,True,xgb_only,0.7704175840527141,0.7327584927432985,0.7291975819203542,0.7741935483870968,0.9052890528905289,0.6519607843137255,0.6410256410256411,"[[736, 68, 9], [65, 133, 6], [13, 1, 25]]",32688,5448,1364,1056
spec0_poly1_aug1_neg-lookup_only,False,True,True,lookup_only,0.7704175840527141,0.7327584927432985,0.7291975819203542,0.7741935483870968,0.9052890528905289,0.6519607843137255,0.6410256410256411,"[[736, 68, 9], [65, 133, 6], [13, 1, 25]]",32688,5448,1364,1056
spec0_poly1_aug1_neg-both,False,True,True,both,0.7704175840527141,0.7327584927432985,0.7291975819203542,0.7741935483870968,0.9052890528905289,0.6519607843137255,0.6410256410256411,"[[736, 68, 9], [65, 133, 6], [13, 1, 25]]",32688,5448,1364,1056
spec1_poly0_aug0_neg-none,True,False,False,none,0.8069762627946446,0.66946486703976,0.7040995962716696,0.8716730038022814,0.8930099857346647,0.6153846153846154,0.5,"[[1252, 134, 16], [134, 224, 6], [32, 2, 34]]",8316,8316,2104,1834
spec1_poly0_aug0_neg-xgb_only,True,False,False,xgb_only,0.8069762627946446,0.66946486703976,0.7040995962716696,0.8716730038022814,0.8930099857346647,0.6153846153846154,0.5,"[[1252, 134, 16], [134, 224, 6], [32, 2, 34]]",8316,8316,2104,1834
spec1_poly0_aug0_neg-lookup_only,True,False,False,lookup_only,0.8069762627946446,0.66946486703976,0.7040995962716696,0.8716730038022814,0.8930099857346647,0.6153846153846154,0.5,"[[1252, 134, 16], [134, 224, 6], [32, 2, 34]]",8316,8316,2104,1834
spec1_poly0_aug0_neg-both,True,False,False,both,0.8069762627946446,0.66946486703976,0.7040995962716696,0.8716730038022814,0.8930099857346647,0.6153846153846154,0.5,"[[1252, 134, 16], [134, 224, 6], [32, 2, 34]]",8316,8316,2104,1834
spec1_poly0_aug1_neg-none,True,False,True,none,0.7765807861606759,0.6826150514325054,0.6865443697140078,0.8013307984790875,0.8792048929663608,0.620253164556962,0.5483870967741935,"[[1150, 140, 18], [114, 196, 6], [28, 0, 34]]",49896,8316,2104,1686
spec1_poly0_aug1_neg-xgb_only,True,False,True,xgb_only,0.7765807861606759,0.6826150514325054,0.6865443697140078,0.8013307984790875,0.8792048929663608,0.620253164556962,0.5483870967741935,"[[1150, 140, 18], [114, 196, 6], [28, 0, 34]]",49896,8316,2104,1686
spec1_poly0_aug1_neg-lookup_only,True,False,True,lookup_only,0.7765807861606759,0.6826150514325054,0.6865443697140078,0.8013307984790875,0.8792048929663608,0.620253164556962,0.5483870967741935,"[[1150, 140, 18], [114, 196, 6], [28, 0, 34]]",49896,8316,2104,1686
spec1_poly0_aug1_neg-both,True,False,True,both,0.7765807861606759,0.6826150514325054,0.6865443697140078,0.8013307984790875,0.8792048929663608,0.620253164556962,0.5483870967741935,"[[1150, 140, 18], [114, 196, 6], [28, 0, 34]]",49896,8316,2104,1686
spec1_poly1_aug0_neg-none,True,True,False,none,0.8069762627946446,0.66946486703976,0.7040995962716696,0.8716730038022814,0.8930099857346647,0.6153846153846154,0.5,"[[1252, 134, 16], [134, 224, 6], [32, 2, 34]]",8316,8316,2104,1834
spec1_poly1_aug0_neg-xgb_only,True,True,False,xgb_only,0.8069762627946446,0.66946486703976,0.7040995962716696,0.8716730038022814,0.8930099857346647,0.6153846153846154,0.5,"[[1252, 134, 16], [134, 224, 6], [32, 2, 34]]",8316,8316,2104,1834
spec1_poly1_aug0_neg-lookup_only,True,True,False,lookup_only,0.8069762627946446,0.66946486703976,0.7040995962716696,0.8716730038022814,0.8930099857346647,0.6153846153846154,0.5,"[[1252, 134, 16], [134, 224, 6], [32, 2, 34]]",8316,8316,2104,1834
spec1_poly1_aug0_neg-both,True,True,False,both,0.8069762627946446,0.66946486703976,0.7040995962716696,0.8716730038022814,0.8930099857346647,0.6153846153846154,0.5,"[[1252, 134, 16], [134, 224, 6], [32, 2, 34]]",8316,8316,2104,1834
spec1_poly1_aug1_neg-none,True,True,True,none,0.7765807861606759,0.6826150514325054,0.6865443697140078,0.8013307984790875,0.8792048929663608,0.620253164556962,0.5483870967741935,"[[1150, 140, 18], [114, 196, 6], [28, 0, 34]]",49896,8316,2104,1686
spec1_poly1_aug1_neg-xgb_only,True,True,True,xgb_only,0.7765807861606759,0.6826150514325054,0.6865443697140078,0.8013307984790875,0.8792048929663608,0.620253164556962,0.5483870967741935,"[[1150, 140, 18], [114, 196, 6], [28, 0, 34]]",49896,8316,2104,1686
spec1_poly1_aug1_neg-lookup_only,True,True,True,lookup_only,0.7765807861606759,0.6826150514325054,0.6865443697140078,0.8013307984790875,0.8792048929663608,0.620253164556962,0.5483870967741935,"[[1150, 140, 18], [114, 196, 6], [28, 0, 34]]",49896,8316,2104,1686
spec1_poly1_aug1_neg-both,True,True,True,both,0.7765807861606759,0.6826150514325054,0.6865443697140078,0.8013307984790875,0.8792048929663608,0.620253164556962,0.5483870967741935,"[[1150, 140, 18], [114, 196, 6], [28, 0, 34]]",49896,8316,2104,1686
