[Header]
Application Name	LabSolutions
0,14517	-226
0,14583	-225
0,14650	-225
0,14717	-225
0,14783	-225
0,14850	-225
0,14917	-225
0,14983	-225
0,15050	-225
0,15117	-225
0,15183	-226
0,15250	-226
0,15317	-226
0,15383	-226
0,15450	-226
0,15517	-226
0,15583	-226
0,15650	-226
0,15717	-227
0,15783	-227
0,15850	-227
0,15917	-227
0,15983	-228
0,16050	-228
0,16117	-228
0,16183	-229
0,16250	-229
0,16317	-229
0,16383	-229
0,16450	-230
0,16517	-230
0,16583	-230
0,16650	-230
0,16717	-231
0,16783	-231
0,16850	-231
0,16917	-231
0,16983	-231
0,17050	-231
0,17117	-231
0,17183	-231
0,17250	-231
0,17317	-231
0,17383	-231
0,17450	-232
0,17517	-232
0,17583	-232
0,17650	-233
0,17717	-233
0,17783	-233
0,17850	-233
0,17917	-233
0,17983	-233
0,18050	-233
0,18117	-233
0,18183	-233
0,18250	-233
0,18317	-233
0,18383	-234
0,18450	-234
0,18517	-234
0,18583	-234
0,18650	-234
0,18717	-234
0,18783	-234
0,18850	-234
0,18917	-234
0,18983	-234
0,19050	-234
0,19117	-234
0,19183	-235
0,19250	-235
0,19317	-235
0,19383	-235
0,19450	-235
0,19517	-235
0,19583	-234
0,19650	-234
0,19717	-234
0,19783	-234
0,19850	-233
0,19917	-233
0,19983	-233
0,20050	-233
0,20117	-233
0,20183	-233
0,20250	-233
0,20317	-233
0,20383	-234
0,20450	-234
0,20517	-234
0,20583	-235
0,20650	-235
0,20717	-235
0,20783	-235
0,20850	-235
0,20917	-235
0,20983	-235
0,21050	-235
0,21117	-235
0,21183	-235
0,21250	-235
0,21317	-235
0,21383	-235
0,21450	-235
0,21517	-235
0,21583	-235
0,21650	-235
0,21717	-236
0,21783	-236
0,21850	-236
0,21917	-236
0,21983	-236
0,22050	-236
0,22117	-236
0,22183	-236
0,22250	-236
0,22317	-236
0,22383	-236
0,22450	-236
0,22517	-237
0,22583	-237
0,22650	-237
0,22717	-237
0,22783	-237
0,22850	-237
0,22917	-237
0,22983	-237
0,23050	-237
0,23117	-237
0,23183	-237
0,23250	-237
0,23317	-237
0,23383	-237
0,23450	-237
0,23517	-237
0,23583	-237
0,23650	-237
0,23717	-237
0,23783	-237
0,23850	-237
0,23917	-238
0,23983	-238
0,24050	-238
0,24117	-238
0,24183	-239
0,24250	-239
0,24317	-239
0,24383	-239
0,24450	-239
0,24517	-239
0,24583	-239
0,24650	-239
0,24717	-239
0,24783	-239
