Mara Wilhelmi
1, -691830784, 31560.7804, 250.939469
2, -739196928, 31559.6904, 250.930803
3, -226643968, 31558.6005, 250.922137
4, 256598016, 31557.5106, 250.913471
5, 238168064, 31556.4207, 250.904805
6, 58877952, 31555.3308, 250.896139
7, 177418240, 31554.2409, 250.887474
8, 277403648, 31553.1510, 250.878808
9, -165974016, 31552.0611, 250.870142
10, -791324672, 31550.9711, 250.861476
11, -723417088, 31549.8812, 250.852810
12, 80793600, 31548.7913, 250.844144
13, 732653568, 31547.7014, 250.835478
14, 709892096, 31546.6115, 250.826812
15, 439207936, 31545.5216, 250.818146
16, 403138560, 31544.4317, 250.809481
17, 438390784, 31543.3417, 250.800815
18, 266964992, 31542.2518, 250.792149
19, 71553024, 31541.1619, 250.783483
20, 83986432, 31540.0720, 250.774817
21, 90941440, 31538.9821, 250.766151
22, -171632640, 31537.8922, 250.757485
23, -496009216, 31536.8023, 250.748819
24, -526669824, 31535.7123, 250.740153
25, -306216960, 31534.6224, 250.731488
26, -67760128, 31533.5325, 250.722822
27, 221251584, 31532.4426, 250.714156
28, 623603712, 31531.3527, 250.705490
29, 802791424, 31530.2628, 250.696824
30, 416974848, 31529.1729, 250.688158
31, -178487296, 31528.0830, 250.679492
32, -236969984, 31526.9930, 250.670826
33, 330833920, 31525.9031, 250.662160
34, 764022784, 31524.8132, 250.653495
35, 442445824, 31523.7233, 250.644829
36, -398632960, 31522.6334, 250.636163
37, -1109262336, 31521.5435, 250.627497
38, -1336752128, 31520.4536, 250.618831
39, -1087197184, 31519.3636, 250.610165
40, -512407552, 31518.2737, 250.601499
41, 52928512, 31517.1838, 250.592833
42, 190953472, 31516.0939, 250.584167
43, -117794816, 31515.0040, 250.575501
44, -386748416, 31513.9141, 250.566836
45, -308903936, 31512.8242, 250.558170
46, -224069632, 31511.7343, 250.549504
47, -491399168, 31510.6443, 250.540838
48, -739393536, 31509.5544, 250.532172
49, -373270528, 31508.4645, 250.523506
50, 332533760, 31507.3746, 250.514840
51, 415385600, 31506.2847, 250.506174
52, -369879040, 31505.1948, 250.497508
53, -1050669056, 31504.1049, 250.488843
54, -737298432, 31503.0149, 250.480177
55, 142872576, 31501.9250, 250.471511
56, 489553920, 31500.8351, 250.462845
57, 50718720, 31499.7452, 250.454179
58, -398366720, 31498.6553, 250.445513
59, -311851008, 31497.5654, 250.436847
60, -91713536, 31496.4755, 250.428181
61, -321599488, 31495.3855, 250.419515
62, -845465600, 31494.2956, 250.410850
63, -1063270400, 31493.2057, 250.402184
64, -850495488, 31492.1158, 250.393518
65, -673499136, 31491.0259, 250.384852
66, -832153600, 31489.9360, 250.376186
67, -1033050112, 31488.8461, 250.367520
68, -856907776, 31487.7562, 250.358854
69, -344907776, 31486.6662, 250.350188
70, 96149504, 31485.5763, 250.341522
71, 199768064, 31484.4864, 250.332856
72, 40810496, 31483.3965, 250.324191
73, -163381248, 31482.3066, 250.315525
74, -240736256, 31481.2167, 250.306859
75, -94189568, 31480.1268, 250.298193
76, 254920704, 31479.0368, 250.289527
77, 622364672, 31477.9469, 250.280861
78, 788551680, 31476.8570, 250.272195
79, 692609024, 31475.7671, 250.263529
80, 423755776, 31474.6772, 250.254863
81, 82749440, 31473.5873, 250.246198
82, -207456256, 31472.4974, 250.237532
83, -239476736, 31471.4075, 250.228866
84, 80162816, 31470.3175, 250.220200
85, 473393152, 31469.2276, 250.211534
86, 511752192, 31468.1377, 250.202868
87, 173361152, 31467.0478, 250.194202
88, -89372672, 31465.9579, 250.185536
89, 38684672, 31464.8680, 250.176870
90, 332193792, 31463.7781, 250.168205
91, 418983936, 31462.6881, 250.159539
92, 302424064, 31461.5982, 250.150873
93, 216641536, 31460.5083, 250.142207
94, 185839616, 31459.4184, 250.133541
95, 75300864, 31458.3285, 250.124875
96, -53966848, 31457.2386, 250.116209
97, -9822208, 31456.1487, 250.107543
98, 161847296, 31455.0587, 250.098877
99, 214679552, 31453.9688, 250.090212
100, 101472256, 31452.8789, 250.081546
101, 17352704, 31451.7890, 250.072880
102, 35153920, 31450.6991, 250.064214
103, 23093248, 31449.6092, 250.055548
104, -32251904, 31448.5193, 250.046882
105, 50317312, 31447.4294, 250.038216
106, 311820288, 31446.3394, 250.029550
107, 543137792, 31445.2495, 250.020884
108, 610742272, 31444.1596, 250.012218
109, 601450496, 31443.0697, 250.003553
110, 542111744, 31441.9798, 249.994887
111, 301617152, 31440.8899, 249.986221
112, -72998912, 31439.8000, 249.977555
113, -255176704, 31438.7100, 249.968889
114, -99346432, 31437.6201, 249.960223
115, 86706176, 31436.5302, 249.951557
116, -18020352, 31435.4403, 249.942891
117, -303462400, 31434.3504, 249.934225
118, -501315584, 31433.2605, 249.925560
119, -627687424, 31432.1706, 249.916894
120, -796092416, 31431.0807, 249.908228
121, -817858560, 31429.9907, 249.899562
122, -431773696, 31428.9008, 249.890896
123, 176824320, 31427.8109, 249.882230
124, 526221312, 31426.7210, 249.873564
125, 480200704, 31425.6311, 249.864898
126, 326903808, 31424.5412, 249.856232
127, 216834048, 31423.4513, 249.847567
128, -13529088, 31422.3613, 249.838901
129, -340490240, 31421.2714, 249.830235
130, -344477696, 31420.1815, 249.821569
131, 199487488, 31419.0916, 249.812903
132, 840468480, 31418.0017, 249.804237
133, 920987648, 31416.9118, 249.795571
134, 377438208, 31415.8219, 249.786905
135, -237533184, 31414.7320, 249.778239
136, -455299072, 31413.6420, 249.769574
137, -335677440, 31412.5521, 249.760908
138, -225380352, 31411.4622, 249.752242
139, -315056128, 31410.3723, 249.743576
140, -492253184, 31409.2824, 249.734910
141, -486606848, 31408.1925, 249.726244
142, -133386240, 31407.1026, 249.717578
143, 388790272, 31406.0126, 249.708912
144, 605227008, 31404.9227, 249.700246
145, 212668416, 31403.8328, 249.691580
146, -476796928, 31402.7429, 249.682915
147, -771741696, 31401.6530, 249.674249
148, -382105600, 31400.5631, 249.665583
149, 231985152, 31399.4732, 249.656917
150, 451395584, 31398.3832, 249.648251
151, 245184512, 31397.2933, 249.639585
152, 58462208, 31396.2034, 249.630919
153, 78522368, 31395.1135, 249.622253
154, 1914880, 31394.0236, 249.613587
155, -400371712, 31392.9337, 249.604922
156, -856653824, 31391.8438, 249.596256
157, -968136704, 31390.7539, 249.587590
158, -763537408, 31389.6639, 249.578924
159, -592195584, 31388.5740, 249.570258
160, -603727872, 31387.4841, 249.561592
161, -631607296, 31386.3942, 249.552926
162, -539770880, 31385.3043, 249.544260
163, -404725760, 31384.2144, 249.535594
164, -334686208, 31383.1245, 249.526929
165, -327802880, 31382.0345, 249.518263
166, -347514880, 31380.9446, 249.509597
167, -377581568, 31379.8547, 249.500931
168, -390830080, 31378.7648, 249.492265
169, -389916672, 31377.6749, 249.483599
170, -434573312, 31376.5850, 249.474933
171, -497428480, 31375.4951, 249.466267
172, -406255616, 31374.4052, 249.457601
173, -119926784, 31373.3152, 249.448936
174, 89145344, 31372.2253, 249.440270
175, -3028992, 31371.1354, 249.431604
176, -187232256, 31370.0455, 249.422938
177, -147130368, 31368.9556, 249.414272
178, -9297920, 31367.8657, 249.405606
179, -112291840, 31366.7758, 249.396940
180, -352264192, 31365.6858, 249.388274
181, -327460864, 31364.5959, 249.379608
182, -82661376, 31363.5060, 249.370942
183, -35571712, 31362.4161, 249.362277
184, -113723392, 31361.3262, 249.353611
185, 245549056, 31360.2363, 249.344945
186, 1013837824, 31359.1464, 249.336279
187, 1340964864, 31358.0564, 249.327613
188, 839768064, 31356.9665, 249.318947
189, 282007552, 31355.8766, 249.310281
190, 402903040, 31354.7867, 249.301615
191, 785940480, 31353.6968, 249.292949
192, 719138816, 31352.6069, 249.284284
193, 442339328, 31351.5170, 249.275618
194, 549982208, 31350.4271, 249.266952
195, 736972800, 31349.3371, 249.258286
196, 327026688, 31348.2472, 249.249620
197, -313081856, 31347.1573, 249.240954
198, -188680192, 31346.0674, 249.232288
199, 608194560, 31344.9775, 249.223622
200, 924342272, 31343.8876, 249.214956
201, 385284096, 31342.7977, 249.206291
202, -114194432, 31341.7077, 249.197625
203, -52260864, 31340.6178, 249.188959
204, -73394176, 31339.5279, 249.180293
205, -592050176, 31338.4380, 249.171627
206, -886851584, 31337.3481, 249.162961
207, -419500032, 31336.2582, 249.154295
208, 46284800, 31335.1683, 249.145629
209, -321349632, 31334.0784, 249.136963
210, -939288576, 31332.9884, 249.128298
211, -707430400, 31331.8985, 249.119632
212, 234582016, 31330.8086, 249.110966
213, 820502528, 31329.7187, 249.102300
214, 705011712, 31328.6288, 249.093634
215, 439998464, 31327.5389, 249.084968
216, 272553984, 31326.4490, 249.076302
217, -66883584, 31325.3590, 249.067636
218, -452515840, 31324.2691, 249.058970
219, -346222592, 31323.1792, 249.050304
220, 215783424, 31322.0893, 249.041639
221, 580284416, 31320.9994, 249.032973
222, 535259136, 31319.9095, 249.024307
223, 506347520, 31318.8196, 249.015641
224, 591257600, 31317.7297, 249.006975
225, 372297728, 31316.6397, 248.998309
226, -86310912, 31315.5498, 248.989643
227, -59944960, 31314.4599, 248.980977
228, 616351744, 31313.3700, 248.972311
229, 1084545024, 31312.2801, 248.963646
230, 749959168, 31311.1902, 248.954980
231, 175888384, 31310.1003, 248.946314
232, 63096832, 31309.0103, 248.937648
233, 145756160, 31307.9204, 248.928982
234, -99276800, 31306.8305, 248.920316
235, -344686592, 31305.7406, 248.911650
236, 1243136, 31304.6507, 248.902984
237, 575782912, 31303.5608, 248.894318
238, 510052352, 31302.4709, 248.885653
239, -112054272, 31301.3809, 248.876987
240, -321077248, 31300.2910, 248.868321
241, 181790720, 31299.2011, 248.859655
242, 571527168, 31298.1112, 248.850989
243, 281061376, 31297.0213, 248.842323
244, -86876160, 31295.9314, 248.833657
245, 238575616, 31294.8415, 248.824991
246, 956086272, 31293.7516, 248.816325
247, 1119098880, 31292.6616, 248.807660
248, 450351104, 31291.5717, 248.798994
249, -371728384, 31290.4818, 248.790328
250, -600258560, 31289.3919, 248.781662
251, -136765440, 31288.3020, 248.772996
252, 567414784, 31287.2121, 248.764330
253, 958775296, 31286.1222, 248.755664
254, 764811264, 31285.0322, 248.746998
255, 231507968, 31283.9423, 248.738332
256, -34994176, 31282.8524, 248.729666
257, 299194368, 31281.7625, 248.721001
258, 862976000, 31280.6726, 248.712335
259, 1007872000, 31279.5827, 248.703669
260, 598487040, 31278.4928, 248.695003
261, 94511104, 31277.4029, 248.686337
262, -118067200, 31276.3129, 248.677671
263, -135110656, 31275.2230, 248.669005
264, -202901504, 31274.1331, 248.660339
265, -303314944, 31273.0432, 248.651673
266, -252895232, 31271.9533, 248.643008
267, -7305216, 31270.8634, 248.634342
268, 306081792, 31269.7735, 248.625676
269, 511700992, 31268.6835, 248.617010
270, 428027904, 31267.5936, 248.608344
271, -16177152, 31266.5037, 248.599678
272, -557715456, 31265.4138, 248.591012
273, -709066752, 31264.3239, 248.582346
274, -314296320, 31263.2340, 248.573680
275, 186124288, 31262.1441, 248.565015
276, 289904640, 31261.0541, 248.556349
277, 47521792, 31259.9642, 248.547683
278, -154769408, 31258.8743, 248.539017
279, -224514048, 31257.7844, 248.530351
280, -338262016, 31256.6945, 248.521685
281, -398426112, 31255.6046, 248.513019
282, -72097792, 31254.5147, 248.504353
283, 543987712, 31253.4248, 248.495687
284, 847745024, 31252.3348, 248.487022
285, 571582464, 31251.2449, 248.478356
286, 225540096, 31250.1550, 248.469690
287, 347308032, 31249.0651, 248.461024
288, 711516160, 31247.9752, 248.452358
289, 743526400, 31246.8853, 248.443692
290, 418504704, 31245.7954, 248.435026
291, 197246976, 31244.7054, 248.426360
292, 217653248, 31243.6155, 248.417694
293, 142929920, 31242.5256, 248.409028
294, -151820288, 31241.4357, 248.400363
295, -290848768, 31240.3458, 248.391697
296, 8998912, 31239.2559, 248.383031
297, 483749888, 31238.1660, 248.374365
298, 742516736, 31237.0761, 248.365699
299, 837070848, 31235.9861, 248.357033
300, 1072861184, 31234.8962, 248.348367
301, 1415616512, 31233.8063, 248.339701
302, 1454944256, 31232.7164, 248.331035
303, 993003520, 31231.6265, 248.322370
304, 396449792, 31230.5366, 248.313704
305, 193110016, 31229.4467, 248.305038
306, 431896576, 31228.3567, 248.296372
307, 649824256, 31227.2668, 248.287706
308, 496480256, 31226.1769, 248.279040
309, 170932224, 31225.0870, 248.270374
310, 64430080, 31223.9971, 248.261708
311, 153806848, 31222.9072, 248.253042
312, 91561984, 31221.8173, 248.244377
313, -154527744, 31220.7274, 248.235711
314, -195909632, 31219.6374, 248.227045
315, 119443456, 31218.5475, 248.218379
316, 394459136, 31217.4576, 248.209713
317, 300335104, 31216.3677, 248.201047
318, 94480384, 31215.2778, 248.192381
319, 138428416, 31214.1879, 248.183715
320, 273272832, 31213.0980, 248.175049
321, 175085568, 31212.0080, 248.166384
322, 20631552, 31210.9181, 248.157718
323, 181221376, 31209.8282, 248.149052
324, 456241152, 31208.7383, 248.140386
325, 314150912, 31207.6484, 248.131720
326, -167979008, 31206.5585, 248.123054
327, -342210560, 31205.4686, 248.114388
328, -27678720, 31204.3786, 248.105722
329, 235118592, 31203.2887, 248.097056
330, 144201728, 31202.1988, 248.088390
331, 86960128, 31201.1089, 248.079725
332, 306173952, 31200.0190, 248.071059
333, 366815232, 31198.9291, 248.062393
334, -23879680, 31197.8392, 248.053727
335, -302872576, 31196.7493, 248.045061
336, 164366336, 31195.6593, 248.036395
337, 1022611456, 31194.5694, 248.027729
338, 1359669248, 31193.4795, 248.019063
339, 933859328, 31192.3896, 248.010397
340, 294422528, 31191.2997, 248.001732
341, -148033536, 31190.2098, 247.993066
342, -475432960, 31189.1199, 247.984400
343, -713474048, 31188.0299, 247.975734
344, -601954304, 31186.9400, 247.967068
345, -96630784, 31185.8501, 247.958402
346, 371726336, 31184.7602, 247.949736
347, 377511936, 31183.6703, 247.941070
348, -17188864, 31182.5804, 247.932404
349, -392017920, 31181.4905, 247.923739
350, -403529728, 31180.4006, 247.915073
351, -57094144, 31179.3106, 247.906407
352, 298020864, 31178.2207, 247.897741
353, 282460160, 31177.1308, 247.889075
354, -50817024, 31176.0409, 247.880409
355, -189200384, 31174.9510, 247.871743
356, 197605376, 31173.8611, 247.863077
357, 755421184, 31172.7712, 247.854411
358, 881764352, 31171.6812, 247.845746
359, 531288064, 31170.5913, 247.837080
360, 241319936, 31169.5014, 247.828414
361, 411369472, 31168.4115, 247.819748
362, 866560000, 31167.3216, 247.811082
363, 1115002880, 31166.2317, 247.802416
364, 814309376, 31165.1418, 247.793750
365, 67633152, 31164.0518, 247.785084
366, -561045504, 31162.9619, 247.776418
367, -525864960, 31161.8720, 247.767752
368, 1273856, 31160.7821, 247.759087
369, 247273472, 31159.6922, 247.750421
370, -42156032, 31158.6023, 247.741755
371, -97710080, 31157.5124, 247.733089
372, 688576512, 31156.4225, 247.724423
373, 1591789568, 31155.3325, 247.715757
374, 1471105024, 31154.2426, 247.707091
375, 531036160, 31153.1527, 247.698425
376, 40351744, 31152.0628, 247.689759
377, 353697792, 31150.9729, 247.681094
378, 479229952, 31149.8830, 247.672428
379, -117254144, 31148.7931, 247.663762
380, -589244416, 31147.7031, 247.655096
381, -230436864, 31146.6132, 247.646430
382, 279396352, 31145.5233, 247.637764
383, 120049664, 31144.4334, 247.629098
384, -158191616, 31143.3435, 247.620432
385, 390522880, 31142.2536, 247.611766
386, 1291579392, 31141.1637, 247.603101
387, 1232859136, 31140.0738, 247.594435
388, 203790336, 31138.9838, 247.585769
389, -372983808, 31137.8939, 247.577103
390, 230555648, 31136.8040, 247.568437
391, 1064998912, 31135.7141, 247.559771
392, 1034745856, 31134.6242, 247.551105
393, 322359296, 31133.5343, 247.542439
394, -289368064, 31132.4444, 247.533773
395, -614813696, 31131.3544, 247.525108
396, -846899200, 31130.2645, 247.516442
397, -804777984, 31129.1746, 247.507776
398, -246667264, 31128.0847, 247.499110
399, 412342272, 31126.9948, 247.490444
400, 477265920, 31125.9049, 247.481778
401, -49289216, 31124.8150, 247.473112
402, -498454528, 31123.7250, 247.464446
403, -507367424, 31122.6351, 247.455780
404, -390492160, 31121.5452, 247.447114
405, -470446080, 31120.4553, 247.438449
406, -547235840, 31119.3654, 247.429783
407, -268414976, 31118.2755, 247.421117
408, 278448128, 31117.1856, 247.412451
409, 608663552, 31116.0957, 247.403785
410, 383436800, 31115.0057, 247.395119
411, -231424000, 31113.9158, 247.386453
412, -725329920, 31112.8259, 247.377787
413, -720429056, 31111.7360, 247.369121
414, -312532992, 31110.6461, 247.360456
