feature,importance_mean,importance_std,importance_max,importance_min
charges_min_2,0.02148729194781831,0.00853907455832171,0.03206252811515975,0.002142375168691091
polytype_emb_2,0.014619320737741859,0.010252553392190649,0.03605206927575355,0.0035509446693657853
delta_HOMO_LUMO_BA,0.013915317139001394,0.004402114589028097,0.020276653171390047,0.0071609311740891135
delta_HOMO_LUMO_AB,0.012725483580746788,0.006415967877438593,0.0244433198380567,0.001487291947818381
charges_min_1,0.00925719748088174,0.013770945632532568,0.030653958614484944,-0.008215249662617996
solvent_logp,0.008507085020242933,0.0040726644073404115,0.01686909581646434,0.0031966936572199733
polytype_emb_1,0.007704959514170107,0.004759737648864394,0.015140013495276716,-5.904183535743179e-05
solvent_FractionCSP3,0.006174089068825994,0.004005930790260189,0.011884278002699089,-0.0026400134952765386
dipole_z_2,0.005299426450742273,0.002985503639045152,0.01041666666666674,5.904183535765384e-05
temperature,0.0044537224471435264,0.014416365344333078,0.032658569500674806,-0.011052069275753418
fukui_electrophilicity_max_1,0.00436656545209182,0.0023795175174996614,0.008333333333333415,0.0007338056680161742
fukui_electrophilicity_max_2,0.004017375168691018,0.0023942799509411514,0.007658569500674783,5.904183535765384e-05
ip_1,0.0036707152496626818,0.0019791871104098803,0.006250000000000089,-0.0006747638326585204
ip_2,0.0030280026990553875,0.003171024345789415,0.008333333333333415,-0.0014676113360323484
dipole_z_1,0.002080802968960893,0.002969011302824241,0.007658569500674783,-0.001290485829959498
dipole_x_1,0.001960188933873197,0.0018928042609384257,0.004841430499325283,-0.0013495276653171517
global_nucleophilicity_1,0.0018075236167342413,0.0008807384651004866,0.0027580971659919573,-0.0006747638326585204
fukui_electrophilicity_min_2,0.001646423751686965,0.0030223959346349,0.007717611336032437,-0.0026990553306341925
charges_max_1,0.001529183535762546,0.0028131437735959023,0.005634278002699111,-0.004782388663967518
fukui_nucleophilicity_max_1,0.0011884278002699423,0.0019476518097179263,0.004166666666666763,-0.002024291497975672
lumo_1,0.0007363360323887402,0.0019252067617854763,0.004107624831309109,-0.0034328609986503666
homo_1,0.0006309041835358187,0.0029205218634441826,0.006190958164642435,-0.0034328609986503666
method_emb_1,0.00039304993252370357,0.0023952547894916815,0.0034919028340081315,-0.003373819163292713
dipole_x_2,0.00039051956815121524,0.003983475533360861,0.006983805668016263,-0.005516194331983693
fukui_radical_max_1,0.0002437584345479582,0.002965360699265465,0.004841430499325283,-0.005516194331983693
charges_mean_1,3.795546558710283e-05,0.003007013330935912,0.006865721997300955,-0.004841430499325172
charges_max_2,3.542510121461451e-05,0.002212566323940323,0.004166666666666763,-0.0027580971659918463
fukui_nucleophilicity_mean_2,0.0,0.0,0.0,0.0
fukui_nucleophilicity_mean_1,0.0,0.0,0.0,0.0
ip_corrected_2,0.0,0.0,0.0,0.0
ip_corrected_1,0.0,0.0,0.0,0.0
fukui_radical_mean_1,0.0,0.0,0.0,0.0
fukui_radical_mean_2,0.0,0.0,0.0,0.0
homo_2,-9.699730094460124e-05,0.002951453685619336,0.004841430499325283,-0.004166666666666541
fukui_nucleophilicity_min_1,-0.00012314439946013999,0.0026278082738773324,0.004166666666666763,-0.004166666666666541
fukui_radical_max_2,-0.00016447368421045326,0.002302023624220215,0.0034328609986504777,-0.0034919028340080205
global_nucleophilicity_2,-0.00017628205128199513,0.0017803668419347858,0.0034328609986504777,-0.0028171390013495
fukui_radical_min_2,-0.0003196693657219085,0.0021999314083406937,0.002817139001349611,-0.004782388663967518
fukui_electrophilicity_mean_1,-0.0003694331983805421,0.0014963791323887561,0.0014676113360323484,-0.0034328609986503666
charges_mean_2,-0.000475708502024208,0.0027340068906244485,0.004107624831309109,-0.004959514170040369
fukui_nucleophilicity_max_2,-0.0010914304993252077,0.00328613969942631,0.004841430499325283,-0.006190958164642435
method_emb_2,-0.001232287449392655,0.0014165393191556467,0.0013495276653172628,-0.0034328609986503666
fukui_electrophilicity_min_1,-0.0016337719298245347,0.0027943366986512316,0.0035509446693657853,-0.006131916329284781
ea_2,-0.0016843792172738902,0.0028649641432260623,0.0027580971659919573,-0.006249999999999867
dipole_y_1,-0.002435053981106572,0.0024392358192026745,0.0014085695006749166,-0.006865721997300955
fukui_radical_min_1,-0.0026788124156544415,0.0024665283302951454,0.002083333333333437,-0.005516194331983693
global_electrophilicity_1,-0.002702429149797492,0.001996645449937316,0.0006747638326587424,-0.006249999999999867
fukui_nucleophilicity_min_2,-0.0027167678812414888,0.0019586990747679366,0.0014085695006749166,-0.006190958164642435
delta_HOMO_LUMO_AA,-0.0036707152496625595,0.0028850119290853445,0.0034919028340081315,-0.006924763832658609
solvent_TPSA,-0.004536099865047205,0.003473178051622652,0.002083333333333437,-0.008890013495276627
lumo_2,-0.004676956815114641,0.0024430744819526405,-0.0006747638326585204,-0.009623819163292802
dipole_y_2,-0.004750337381916237,0.0031716093938823444,0.002083333333333437,-0.010357624831308976
fukui_electrophilicity_mean_2,-0.004847334682860927,0.0028332851692248686,0.0,-0.009008097165991824
ea_1,-0.0048675775978407445,0.0023811117155242054,-0.0013495276653171517,-0.0075995276653171295
solvent_HBD,-0.004876855600539742,0.0014747623106108794,-0.0028171390013495,-0.006924763832658609
global_electrophilicity_2,-0.005061572199730013,0.0012391407303780162,-0.0027580971659918463,-0.0075995276653171295
best_conformer_energy_1,-0.005524628879891957,0.00358929408898202,0.0014085695006749166,-0.011707152496626128
delta_HOMO_LUMO_BB,-0.00615300269905531,0.0018934658343648433,-0.0027580971659918463,-0.009623819163292802
best_conformer_energy_2,-0.006589912280701693,0.0034669707214443563,0.002142375168691091,-0.010357624831308976
