solvent_name,minsk_class,model_class,model_confidence,agreement,fukui_radical_max_1,fukui_radical_max_2,delta_HOMO_LUMO_AA,delta_HOMO_LUMO_AB,delta_HOMO_LUMO_BB,delta_HOMO_LUMO_BA,temperature,polytype_emb_1,polytype_emb_2,method_emb_1,method_emb_2,solvent_logP,solvent_TPSA,solvent_HBD,solvent_FractionCSP3,pca_component_1,pca_component_2
Benzene,1,1,0.609,True,0.2214026309262143,0.0970476684164329,-0.1333890201707554,-0.1438292573911712,-0.1330013590684661,-0.1225611218480502,90.0,7.496725795633088,-0.4631906941937577,6.958462891419976,6.651678436014861,1.6866,0.0,0.0,0.0,0.5244557586888879,1.0176388865677857
o-Dichlorobenzene,1,1,0.686,True,0.2214026309262143,0.0970476684164329,-0.1333890201707554,-0.1438292573911712,-0.1330013590684661,-0.1225611218480502,90.0,7.496725795633088,-0.4631906941937577,6.958462891419976,6.651678436014861,2.9934000000000003,0.0,0.0,0.0,0.359426737628982,1.273321213862779
Benzonitrile,1,1,0.395,True,0.2214026309262143,0.0970476684164329,-0.1333890201707554,-0.1438292573911712,-0.1330013590684661,-0.1225611218480502,90.0,7.496725795633088,-0.4631906941937577,6.958462891419976,6.651678436014861,1.55828,23.79,0.0,0.0,0.5948644710821925,0.8364837935078745
Dioxane,1,1,0.43,True,0.2214026309262143,0.0970476684164329,-0.1333890201707554,-0.1438292573911712,-0.1330013590684661,-0.1225611218480502,90.0,7.496725795633088,-0.4631906941937577,6.958462891419976,6.651678436014861,0.0332,18.46,0.0,1.0,0.5397565586936994,0.9874526961095093
Bis(2-methoxyethyl) ether,1,0,0.583,False,0.2214026309262143,0.0970476684164329,-0.1333890201707554,-0.1438292573911712,-0.1330013590684661,-0.1225611218480502,90.0,7.496725795633088,-0.4631906941937577,6.958462891419976,6.651678436014861,0.2958,27.69,0.0,1.0,0.5276240673923935,0.9782883255810615
Ethanol,0,0,0.493,True,0.2214026309262143,0.0970476684164329,-0.1333890201707554,-0.1438292573911712,-0.1330013590684661,-0.1225611218480502,90.0,7.496725795633088,-0.4631906941937577,6.958462891419976,6.651678436014861,-0.0014,20.23,1.0,1.0,0.6168023021235608,0.6975461200888691
2-(2-Methoxyethoxy)ethanol,0,0,0.76,True,0.2214026309262143,0.0970476684164329,-0.1333890201707554,-0.1438292573911712,-0.1330013590684661,-0.1225611218480502,90.0,7.496725795633088,-0.4631906941937577,6.958462891419976,6.651678436014861,0.0,0.0,0.0,0.0,0.7374477596987116,0.6876466817807211
DMSO,0,1,0.367,False,0.2214026309262143,0.0970476684164329,-0.1333890201707554,-0.1438292573911712,-0.1330013590684661,-0.1225611218480502,90.0,7.496725795633088,-0.4631906941937577,6.958462891419976,6.651678436014861,0.0,0.0,0.0,0.0,0.7374477596987116,0.6876466817807211
Methanol,0,0,0.569,True,0.2214026309262143,0.0970476684164329,-0.1333890201707554,-0.1438292573911712,-0.1330013590684661,-0.1225611218480502,90.0,7.496725795633088,-0.4631906941937577,6.958462891419976,6.651678436014861,-0.3915,20.23,1.0,1.0,0.6660660158635893,0.6212209931545433
