model;number of paper;input;number of calls;calls / paper;execution time / s;time/ paper;time / call;output token;token / paper;token / call;input token;token / paper;token / call;general cost;cost /  M input token;cost / M output token;cost ;cost / paper;cost / call;correct rxn rate;fuzzy matching score;rate of empty entries;monomer matching error rate;MSE rxn const;MSE rxn const conf;MSE temp;Parsing error rate;solvent error rate;run name
Claude opus Vision;10,00;images;18,00;1,80;645,03;64,50;35,84;993,00;99,30;55,17;19420,00;1942,00;1078,89;0,00;15,00;75,00;0,37;0,04;0,02;8,70;0,70;24,35;43,75;7,76;0,00;1016,67;30,00;26,09;atomic-smoke-181
;;;17,00;1,70;611,16;61,12;35,95;1019,00;101,90;59,94;19420,00;1942,00;1142,35;0,00;15,00;75,00;0,37;0,04;0,02;10,53;0,72;22,55;23,08;12,60;0,00;1742,86;50,00;31,58;effortless-snowball-182
;;;18,00;1,80;610,22;61,02;33,90;1024,00;102,40;56,89;19420,00;1942,00;1078,89;0,00;15,00;75,00;0,37;0,04;0,02;15,15;0,71;27,80;31,82;4,45;0,00;615,00;10,00;30,30;revived-armadillo-183
;average;;17,67;1,77;622,13;62,21;35,23;1012,00;101,20;57,33;19420,00;1942,00;1100,04;0,00;15,00;75,00;0,37;0,04;0,02;11,46;0,71;24,90;32,88;8,27;0,00;1124,84;30,00;29,32;
;stanard deviation;;0,58;0,06;19,84;1,98;1,15;16,64;1,66;2,42;0,00;0,00;36,64;0,00;0,00;0,00;0,00;0,00;0,00;3,33;0,01;2,67;10,38;4,10;0,00;571,66;20,00;2,87;
GPT3.5 turbo + NOUGAT;10,00;Markdown;29,00;2,90;165;16,51;5,69;5460,00;546,00;188,28;55380,00;5538,00;1909,66;0,00;1,00;2,00;0,07;0,01;0,00;15,15;0,79;13,07;95,45;0,00;0,00;0,00;0,00;0,00;volcanic-oath-187
;;;28,00;2,80;171,34;17,13;6,12;6004,00;600,40;214,43;53640,00;5364,00;1915,71;0,00;1,00;2,00;0,07;0,01;0,00;15,15;0,80;15,43;95,45;0,00;0,00;0,00;0,00;0,00;different-lion-188
;;;26,00;2,60;175,58;17,56;6,75;5930,00;593,00;228,08;51947,00;5194,70;1997,96;0,00;1,00;2,00;0,06;0,01;0,00;15,15;0,80;14,57;95,45;0,00;0,00;0,00;0,00;0,00;lunar-snow-186
;average;;27,67;2,77;170,67;17,07;6,19;5798,00;579,80;210,26;53655,67;5365,57;1941,11;0,00;1,00;2,00;0,07;0,01;0,00;15,15;0,79;14,36;95,45;0,00;0,00;0,00;0,00;0,00;
;stanard deviation;;1,53;0,15;5,28;0,53;0,53;295,05;29,50;20,23;1716,55;171,66;49,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;1,19;0,00;0,00;0,00;0,00;0,00;0,00;
GPT3.5 turbo + Marker;10,00;Markdown;18,00;1,80;107;10,71;5,95;4889,00;488,90;271,61;40424,00;4042,40;2245,78;0,00;1,00;2,00;0,05;0,01;0,00;15,15;0,78;9,97;95,45;0,00;0,00;0,00;0,00;0,00;misty-haze-189
;;;18,00;1,80;132,01;13,20;7,33;4797,00;479,70;266,50;40556,00;4055,60;2253,11;0,00;1,00;2,00;0,05;0,01;0,00;15,15;0,78;11,92;95,45;0,00;0,00;0,00;0,00;0,00;silvery-smoke-190
;;;18,00;1,80;108,13;10,81;6,01;4658,00;465,80;258,78;40750,00;4075,00;2263,89;0,00;1,00;2,00;0,05;0,01;0,00;15,15;0,78;11,54;90,00;0,00;0,00;0,00;10,00;0,00;colorful-planet-191
;average;;18,00;1,80;115,73;11,57;6,43;4781,33;478,13;265,63;40576,67;4057,67;2254,26;0,00;1,00;2,00;0,05;0,01;0,00;15,15;0,78;11,14;93,64;0,00;0,00;0,00;3,33;0,00;
;stanard deviation;;0,00;0,00;14,10;1,41;0,78;116,29;11,63;6,46;163,98;16,40;9,11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,04;3,15;0,00;0,00;0,00;5,77;0,00;
