time_min,avg_conversion_va,std_conversion_va,avg_conversion_ba,std_conversion_ba
0,0.01,0.01,0.00,0.00
20,0.01,0.01,0.02,0.01
60,-0.03,0.01,0.01,0.00
90,0.00,0.01,0.05,0.01
120,-0.02,0.01,0.05,0.00
150,-0.02,0.03,0.05,0.03
180,-0.01,0.01,0.07,0.00
240,0.00,0.01,0.11,0.01
360,0.16,0.01,0.23,0.00
420,0.13,0.01,0.23,0.00
480,0.40,0.01,0.48,0.00
