monomer1_name,monomer2_name,solvent,temperature,polymerization_type,method,r1r2,r_product_class,pca_component_1,pca_component_2,near_Benzene,distance_to_Benzene,near_o-Dichlorobenzene,distance_to_o-Dichlorobenzene,near_Benzonitrile,distance_to_Benzonitrile,near_Dioxane,distance_to_Dioxane,near_Bis(2-methoxyethyl)_ether,distance_to_Bis(2-methoxyethyl)_ether,near_Ethanol,distance_to_Ethanol,near_2-(2-Methoxyethoxy)ethanol,distance_to_2-(2-Methoxyethoxy)ethanol,near_DMSO,distance_to_DMSO,near_Methanol,distance_to_Methanol
methyl methacrylate,methylthiomethyl methacrylate,benzene,60.0,free radical,solvent,0.7260000000000001,0,0.7960824015012792,0.9076742228481266,False,0.29304139699453396,False,0.5695312904747428,False,0.21344023227074557,False,0.268453985790737,False,0.27759003702816054,False,0.27621580983370536,True,0.22770625825278545,True,0.22770625825278545,False,0.3145786282253982
phenyl methacrylate,styrene,ethyl methyl ketone,70.0,free radical,solvent,0.1271,0,0.4013983707190072,1.2165677638538381,False,0.23391412730371602,True,0.07058733648581059,False,0.4264891047889611,False,0.2676503361610605,False,0.2696479504915098,False,0.5619451221970239,False,0.6266471917235644,False,0.6266471917235644,False,0.6515264689699546
phenyl methacrylate,styrene,ethyl methyl ketone,70.0,free radical,solvent,0.0468,0,0.4013983707190072,1.2165677638538381,False,0.23391412730371602,True,0.07058733648581059,False,0.4264891047889611,False,0.2676503361610605,False,0.2696479504915098,False,0.5619451221970239,False,0.6266471917235644,False,0.6266471917235644,False,0.6515264689699546
2-naphthyl methacrylate,acrylonitrile,acetone,60.0,free radical,solvent,0.0539,0,0.5766973488887465,0.9291196526448654,True,0.10278540032957323,False,0.40703959667585266,True,0.0944004593571452,True,0.06904611459077557,True,0.06946758492366721,False,0.23502065495277163,False,0.29008600489083997,False,0.29008600489083997,False,0.3206062119685108
2-naphthyl methacrylate,acrylonitrile,acetonitrile,60.0,free radical,solvent,0.0,0,0.6395296764144283,0.8031743873888949,False,0.2433865812832681,False,0.5472619982784369,True,0.055718014172885716,False,0.2095546947330087,False,0.2078166419701811,True,0.10804565884367077,True,0.15144174390555837,True,0.15144174390555837,True,0.18387826131645493
Vinyl acetate,Norbornadiene,benzene,60.0,free radical,solvent,1.04,1,0.46029243183216767,1.1013435130169997,True,0.1054675163371395,False,0.1993745667212619,False,0.29708635910516445,True,0.13887283979857665,True,0.14027162329605003,False,0.43306774762637756,False,0.49795596586420116,False,0.49795596586420116,False,0.5223604138563828
styrene,acrylamide,ethanol,50.0,free radical,solvent,0.432,0,0.4955549377909841,0.7156013124231726,False,0.3034171281317773,False,0.5740926539689829,True,0.15644474307470657,False,0.27542141910643625,False,0.2646372913162559,True,0.12258431109985196,False,0.24350276931657155,False,0.24350276931657155,True,0.194888871952019
ortho-methacryloyloxybenzoic acid,methyl methacrylate,acetone,60.0,free radical,solvent,0.9028,0,0.4670063271948178,1.0962087269833196,True,0.09733271290739988,False,0.20722500114556727,False,0.28949049384591025,True,0.1308452155585601,True,0.13258857980056377,False,0.4258764001922762,False,0.4899607261759745,False,0.4899607261759745,False,0.5150127250279402
styrene,acrylamide,t-butanol and water,50.0,free radical,solvent,2.175,1,0.5731472040986544,0.49995986712797474,False,0.5199638679987835,False,0.8023491823461182,False,0.33722395038220293,False,0.48863503098834316,False,0.4804898231405981,True,0.20235141448156646,False,0.24944140186621352,False,0.24944140186621352,True,0.15276834182853047
2-Hydroxyethyl methacrylate,Methyl methacrylate,dimethylformamide,60.0,free radical,solvent,0.7236000000000001,0,0.5366602943603896,0.7894141309323168,False,0.22855084724372918,False,0.5153424090271771,True,0.07485505542606802,False,0.19806276820811836,False,0.18909022926113617,True,0.12191174194737774,True,0.225104908751032,True,0.225104908751032,True,0.21221397775193032
styrene,acrylamide,isopropanol and water,50.0,free radical,solvent,0.1664,0,0.622410917838683,0.42363474019364894,False,0.6020266930242617,False,0.8894536427362866,False,0.4137670208600009,False,0.5698442159913591,False,0.5626945412927329,False,0.2739687949499788,False,0.2879857293091184,False,0.2879857293091184,True,0.20235141448156643
2-Hydroxyethyl methacrylate,Butyl acrylate,dimethylformamide,60.0,free radical,solvent,0.348,0,0.6066673613535337,0.8502169590438677,False,0.18651769199867776,False,0.49004605545353747,True,0.018108231675023182,False,0.152678430174446,True,0.15049955895925893,True,0.15300686942629438,True,0.20864469233781094,True,0.20864469233781094,True,0.2365742009416699
2-Hydroxyethyl methacrylate,Butyl acrylate,dimethylformamide,60.0,free radical,solvent,0.44,0,0.6066673613535337,0.8502169590438677,False,0.18651769199867776,False,0.49004605545353747,True,0.018108231675023182,False,0.152678430174446,True,0.15049955895925893,True,0.15300686942629438,True,0.20864469233781094,True,0.20864469233781094,True,0.2365742009416699
alpha-methylstyrene,styrene,toluene,50.0,free radical,solvent,1.0688,1,0.33643342004204363,1.3820111082957276,False,0.4100237990619387,True,0.11109539056819291,False,0.6036444809002741,False,0.4438655644877965,False,0.4467056625084569,False,0.7396614293855363,False,0.801844409732828,False,0.801844409732828,False,0.8291316225573518
alpha-methylstyrene,styrene,toluene,50.0,free radical,solvent,0.9405,0,0.33643342004204363,1.3820111082957276,False,0.4100237990619387,True,0.11109539056819291,False,0.6036444809002741,False,0.4438655644877965,False,0.4467056625084569,False,0.7396614293855363,False,0.801844409732828,False,0.801844409732828,False,0.8291316225573518
alpha-methylstyrene,styrene,toluene,50.0,free radical,solvent,0.74,0,0.33643342004204363,1.3820111082957276,False,0.4100237990619387,True,0.11109539056819291,False,0.6036444809002741,False,0.4438655644877965,False,0.4467056625084569,False,0.7396614293855363,False,0.801844409732828,False,0.801844409732828,False,0.8291316225573518
alpha-methylstyrene,styrene,toluene,50.0,free radical,solvent,0.8374,0,0.33643342004204363,1.3820111082957276,False,0.4100237990619387,True,0.11109539056819291,False,0.6036444809002741,False,0.4438655644877965,False,0.4467056625084569,False,0.7396614293855363,False,0.801844409732828,False,0.801844409732828,False,0.8291316225573518
sodium p-styrenesulfonate,acrylonitrile,dimethyl sulfoxide,45.0,free radical,solvent,0.0825,0,0.4855578328493572,0.784127927713402,False,0.23672857144778975,False,0.505192165809326,True,0.121198505951405,False,0.21042448366689848,False,0.19866511568153472,True,0.15723078619214176,False,0.2697353630225291,False,0.2697353630225291,True,0.24314989916194452
Methyl Vinyl Ketone,Styrene,Acetonitrile-Ethanol,60.0,free radical,solvent,0.0943,0,0.9403808447074568,0.7085203820263316,False,0.518216100704618,False,0.8102515993038771,False,0.36845108104217555,False,0.4881629383554525,False,0.4930952246668635,False,0.3237645867691373,True,0.20400379494781512,True,0.20400379494781512,False,0.2878711667066155
Itaconic Anhydride,Styrene,benzene,70.0,free radical,solvent,0.00954,0,0.5346913452503415,1.1071031879381497,True,0.09004792308512351,False,0.2415494045261752,False,0.2772285369765974,True,0.11975765771783581,True,0.12900858568481793,False,0.4177070756689859,False,0.4658904636905076,False,0.4658904636905076,False,0.5033297242230721
tert-butyl methacrylate,tert-butyl acrylate,2-butanone,78.0,free radical,solvent,0.4312079999999999,0,0.3843138542055966,1.0289101260794267,True,0.14059443172591413,False,0.24567488354111322,False,0.28523578971449687,False,0.16087620357991503,False,0.15198810443367425,False,0.4047875774791196,False,0.49108481306535634,False,0.49108481306535634,False,0.49557513023152694
methyl acrylate,styrene,dioxane,60.0,free radical,solvent,0.00448,0,0.38337640514674226,1.015581370530466,True,0.1410943562589006,False,0.258850175613571,False,0.2771338018511644,False,0.1588898195229955,True,0.14899046702703428,False,0.3945048414188114,False,0.4826051017132521,False,0.4826051017132521,False,0.4852149248027338
Styrene,Cyanomethyl Methacrylate,acetonitrile,60.0,free radical,solvent,0.0435,0,0.42778673390928645,0.9213523249245135,True,0.13644047165310907,False,0.3585459355115887,False,0.18739700606902907,True,0.13002500041548304,True,0.11493128959417262,False,0.2929438552868099,False,0.3879539644470883,False,0.3879539644470883,False,0.3832177351306618
o-Chlorostyrene,Indene,benzene,70.0,free radical,solvent,0.0,0,0.5370501965224241,1.1353529432324385,True,0.11838589020990596,False,0.22491184239607573,False,0.30440968939893515,True,0.14792500632153327,False,0.15734721487318823,False,0.4450114748395591,False,0.4905100201525629,False,0.4905100201525629,False,0.5300723948020417
Vinyl Acetate,2-Vinylpyridine,methyl ethyl ketone,70.0,free radical,solvent,0.0,2,0.42833598143038937,1.0621415105112646,True,0.10592211817216499,False,0.22213813492715612,False,0.28045167695860335,True,0.1341378545915697,True,0.12995953461342177,False,0.41042581881855383,False,0.48558878509508796,False,0.48558878509508796,False,0.5009256151343523
Ethyl-2-cyanoacrylate,Butyl-2-cyanoacrylate,water,30.0,anionic,solvent,8.739999999999998,1,0.8797007292411066,0.6408473277060981,False,0.5178521680287409,False,0.8189677911970331,False,0.34555074983767753,False,0.48548668415851437,False,0.4876724339814422,False,0.2689429977496052,True,0.14975342027957664,True,0.14975342027957664,True,0.21453434169806837
4-chlorophenyl acrylate,methyl acrylate,ethyl acetate,70.0,free radical,solvent,0.0936,0,0.5397227897510442,0.8824614237248302,True,0.1360368652171589,False,0.4304393592104267,True,0.07179517741737973,True,0.10499127781532791,True,0.09658765036005124,True,0.200337017913227,False,0.2775751203180065,False,0.2775751203180065,False,0.29018816886474647
4-chlorophenyl acrylate,methyl acrylate,ethyl acetate,70.0,free radical,solvent,0.084348,0,0.5397227897510442,0.8824614237248302,True,0.1360368652171589,False,0.4304393592104267,True,0.07179517741737973,True,0.10499127781532791,True,0.09658765036005124,True,0.200337017913227,False,0.2775751203180065,False,0.2775751203180065,False,0.29018816886474647
4-chlorophenyl acrylate,methyl acrylate,ethyl acetate,70.0,free radical,solvent,0.08184,0,0.5397227897510442,0.8824614237248302,True,0.1360368652171589,False,0.4304393592104267,True,0.07179517741737973,True,0.10499127781532791,True,0.09658765036005124,True,0.200337017913227,False,0.2775751203180065,False,0.2775751203180065,False,0.29018816886474647
Ethyl acrylate,Vinyl imidazole,water,25.0,free radical,solvent,0.4864,0,0.7998786300958983,0.42920870366580893,False,0.6496982670779846,False,0.9521154338885164,False,0.45596469622324887,False,0.615873239498237,False,0.6128710942078059,False,0.3248413626932963,False,0.2658717775745935,False,0.2658717775745935,True,0.23403960144041924
styrene,methyl methacrylate,toluene,100.0,free radical,solvent,0.30846,0,0.3983646428529059,1.1682856789712757,False,0.19645209480741926,True,0.11202064119246724,False,0.3856224496722243,False,0.22954790688615295,False,0.2297977221983835,False,0.5189515808670838,False,0.5882101714100226,False,0.5882101714100226,False,0.6090515541229372
styrene,ethyl acrylate,benzene,70.0,free radical,solvent,0.2552,0,0.43008665436228494,1.0913542415415651,True,0.11974757371368988,False,0.19520451544087475,False,0.3034974038832518,True,0.1510728931980558,True,0.14932330123793028,False,0.43582974845805816,False,0.5073959429101551,False,0.5073959429101551,False,0.526033772959015
2-(p-methoxyphenoxy)-2-oxo-ethyl methacrylate,acrylonitrile,"1,4-dioxane",65.0,free radical,solvent,0.093,0,0.6356970536124593,0.992409940875972,True,0.11406632016942368,False,0.3940005466806852,True,0.1611839422186612,True,0.09606847995534859,True,0.10899169862452818,False,0.29546858452802727,False,0.32130024942942376,False,0.32130024942942376,False,0.37242919968599686
acrylonitrile,p-cresyl acrylate,dimethylformamide,60.0,free radical,solvent,0.584,0,0.5712137859966123,0.6142437940302624,False,0.40609594162102486,False,0.6922693111711369,False,0.2234949043553931,False,0.37453229732665777,False,0.3666449024874554,True,0.09496099372601079,True,0.1817187880844924,True,0.1817187880844924,True,0.09510850024239526
acrylonitrile,m-chlorophenyl acrylate,dimethylformamide,60.0,free radical,solvent,1.0836,1,0.5009718568729903,0.4779944027907596,False,0.540155220761099,False,0.807824088023988,False,0.3705812545984569,False,0.51093248646624,False,0.5010033428096854,False,0.24823305302778353,False,0.3160299522243495,False,0.3160299522243495,True,0.21856334898616525
allyl methacrylate,styrene,toluene,80.0,free radical,solvent,1.386,2,0.3807338591413724,1.2718129972040975,False,0.29199394330586076,True,0.021360434092810385,False,0.48514269505057755,False,0.32580515620768574,False,0.32822776563148864,False,0.6208951247382376,False,0.6844670122994643,False,0.6844670122994643,False,0.7104114268457166
glycidyl methacrylate,styrene,toluene,60.0,free radical,solvent,0.242178,0,0.3124769653754581,1.247423677880025,False,0.3126276685340361,True,0.05361868596520992,False,0.4986123664201153,False,0.34531279284386635,False,0.34456075424135696,False,0.6284737378357286,False,0.7028160935761909,False,0.7028160935761909,False,0.7191349101403013
glycidyl methacrylate,styrene,cyclohexanone,60.0,free radical,solvent,0.24805,0,0.248760659295118,1.3285673085521985,False,0.41555297066373836,True,0.1236895786726967,False,0.6016095364203597,False,0.44837238127332885,False,0.44772778145534115,False,0.7305083101139451,False,0.8059741509018856,False,0.8059741509018856,False,0.8212688783385
Methyl Acrylate,2-Phenylethyl Acrylate,ethyl acetate,70.0,free radical,solvent,0.3,0,0.5901540429659552,1.0185315106430795,True,0.06570434791313384,False,0.3437337374987265,False,0.1821086473706777,True,0.059209789171929345,True,0.07436068712139529,False,0.32208966246275256,False,0.3621880850610931,False,0.3621880850610931,False,0.40449755862825615
glycidyl methacrylate,styrene,cyclohexanone,120.0,free radical,solvent,0.3017019999999999,0,0.43063170579398186,1.301484520050741,False,0.2989503245506958,True,0.07657231423181324,False,0.49315117041289297,False,0.332451831049615,False,0.33743636189379467,False,0.6319818683207747,False,0.6862455702047782,False,0.6862455702047782,False,0.7198526101801715
styrene,glycidyl acrylate,tetrahydrofuran,60.0,free radical,solvent,0.102,0,0.3107230089879799,1.2986674816935273,False,0.35307047394685814,True,0.05490433932290229,False,0.5425404428297762,False,0.38640782815169344,False,0.3868964626463915,False,0.6745601715664921,False,0.7452787604616287,False,0.7452787604616287,False,0.7649852268960488
2-Hydroxyethylacrylate,Methylacrylate,2-ethoxyethanol,60.0,free radical,solvent,1.0,1,0.6142364809142681,0.6597487943693138,False,0.3689795335477858,False,0.6643787468275745,True,0.17779351699497115,False,0.3360611641200596,False,0.33010474568034337,True,0.03788431430062068,True,0.12633016797945537,True,0.12633016797945537,True,0.06458089624267983
2-Hydroxyethylacrylate,Ethylacrylate,2-methoxyethanol,60.0,free radical,solvent,0.44,0,0.6951994027915064,0.6335241460713876,False,0.42035404823559963,False,0.7225535071015896,False,0.22640608871816087,False,0.3865590463477763,False,0.38333253515336235,True,0.10121718505389815,True,0.06865983201965081,True,0.06865983201965081,True,0.031624702458473625
2-Hydroxyethylacrylate,Butylacrylate,2-methoxyethanol,60.0,free radical,solvent,0.2162,0,0.7151488973434755,0.6652562089573699,False,0.4006712175959536,False,0.7044723593602228,False,0.20925398183070787,False,0.3668419943111972,False,0.36490364191946706,True,0.10351179233415808,True,0.031600198347336204,True,0.031600198347336204,True,0.0659411061870369
p-styrenesulfonyl fluoride,methyl acrylate,butanone,75.0,free radical,solvent,0.8,0,0.43513769502675753,1.1026629307382876,True,0.12331587320154629,False,0.1866986841653868,False,0.31042547589685704,False,0.15562295716950095,False,0.15499281106351664,False,0.44398385076756197,False,0.5134489868533872,False,0.5134489868533872,False,0.5339608867968783
Styrene,Methyl Methacrylate,acetonitrile,60.0,free radical,solvent,0.22,0,0.4322180981449083,0.8916288635354092,False,0.15616117291838735,False,0.38857127076534,True,0.17174056416000225,True,0.14403724305329185,True,0.1288881737402387,False,0.2678421917140171,False,0.3671156177087157,False,0.3671156177087157,False,0.35749862235437796
N-Vinyl Carbazole,Methyl Methacrylate,toluene and methanol,25.0,free radical,solvent,0.6169,0,0.6266426892197016,0.9908392282397173,True,0.10564274919657542,False,0.3888450038075344,True,0.15759268821633599,True,0.08695210335380284,True,0.0998108843069056,False,0.2934581409792324,False,0.32280564411445617,False,0.32280564411445617,False,0.3717147271647299
2-Hydroxyethyl Methacrylate,t-Butyl Acrylate,"1,4-Dioxane",50.0,free radical,solvent,1.031646,1,0.528323964075842,1.0919958714344211,True,0.07445753293907013,False,0.24780063137167985,False,0.26403420429748076,True,0.10516643821443951,True,0.11370969984729264,False,0.4042511875557748,False,0.45522634926959094,False,0.45522634926959094,False,0.49051183354750194
2-Hydroxyethyl Methacrylate,t-Butyl Acrylate,"N,N-Dimethylformamide",50.0,free radical,solvent,0.91392,0,0.6525809646740033,0.8773971008121771,False,0.18995743439162954,False,0.49264115147769544,True,0.07074667728670962,False,0.15761212085705392,False,0.16060281882212502,True,0.18337526540140078,True,0.20786436544145565,True,0.20786436544145565,False,0.2565307871195997
styrene,tolylisocyanide,toluene,60.0,free radical,solvent,0.01352197,0,0.2819344500335725,1.2353325044937917,False,0.3258943025546791,True,0.08630293550216606,False,0.5069570912105062,False,0.35765435705242415,False,0.3555771336726303,False,0.6335224333949679,False,0.7123567474818934,False,0.7123567474818934,False,0.7243548910764643
styrene,tolylisocyanide,toluene,60.0,free radical,solvent,0.00665408,0,0.2819344500335725,1.2353325044937917,False,0.3258943025546791,True,0.08630293550216606,False,0.5069570912105062,False,0.35765435705242415,False,0.3555771336726303,False,0.6335224333949679,False,0.7123567474818934,False,0.7123567474818934,False,0.7243548910764643
styrene,tolylisocyanide,toluene,60.0,free radical,solvent,0.0072051,0,0.2819344500335725,1.2353325044937917,False,0.3258943025546791,True,0.08630293550216606,False,0.5069570912105062,False,0.35765435705242415,False,0.3555771336726303,False,0.6335224333949679,False,0.7123567474818934,False,0.7123567474818934,False,0.7243548910764643
ortho-Chlorophenyl acrylate,Methyl methacrylate,benzene,50.0,free radical,solvent,0.4559999999999999,0,0.4510517007526888,1.0394199818226526,True,0.07656743323373501,False,0.25120692708862485,False,0.2487271787271702,True,0.10280637434870636,True,0.09798166526266755,False,0.3799355197814175,False,0.4536156492033807,False,0.4536156492033807,False,0.47023563223732745
ortho-Chlorophenyl acrylate,Methyl methacrylate,benzene,50.0,free radical,solvent,0.546,0,0.4510517007526888,1.0394199818226526,True,0.07656743323373501,False,0.25120692708862485,False,0.2487271787271702,True,0.10280637434870636,True,0.09798166526266755,False,0.3799355197814175,False,0.4536156492033807,False,0.4536156492033807,False,0.47023563223732745
para-Chlorophenyl acrylate,Methyl methacrylate,benzene,50.0,free radical,solvent,0.327,0,0.436401393254842,0.9928197030237896,True,0.0914853165474278,False,0.290871441003883,False,0.22260158049458084,True,0.10349442007234748,True,0.09237281638658064,False,0.3460216419530507,False,0.4286717714565294,False,0.4286717714565294,False,0.43684258040455104
acrylamide,styrene,benzene,90.0,free radical,solvent,6.123800000000001,1,0.5244557586888879,1.0176388865677857,True,0.0,False,0.3043156753816256,False,0.19435677122865608,True,0.03384258523178419,True,0.03947790305994745,False,0.3331475097257342,False,0.39276003833689177,False,0.39276003833689177,False,0.4209520295179462
Acrylonitrile,"2-Methylene-4-phenyl-1,3-dioxolane",benzene,80.0,zwitterionic,solvent,0.756,0,0.6271708491637258,0.7920832614262202,False,0.2478421470296296,False,0.550705798159835,True,0.05491001105336789,False,0.21403381552186115,False,0.21114423429953708,True,0.09510403703293788,True,0.15188152015696954,True,0.15188152015696954,True,0.17523341208671556
Methyl methacrylate,Methyl alpha-Cyanoacrylate,benzene,60.0,free radical,solvent,0.01,0,0.4294232159461286,0.91452358952443,True,0.1402282021010533,False,0.365561543666242,False,0.1829235322841263,True,0.13225770718242014,True,0.11708692834447094,False,0.28668823516033815,False,0.3825601270667584,False,0.3825601270667584,False,0.37686367268561727
Alpha-Methylstyrene,Methyl alpha-Cyanoacrylate,benzene,60.0,free radical,solvent,5e-05,0,0.5190511985509848,1.105680028431,True,0.08820687008880226,False,0.23148117758818343,False,0.2796681340243785,True,0.12002672221841153,True,0.12767983409755446,False,0.4196767391556023,False,0.47164492664798696,False,0.47164492664798696,False,0.5062745434746385
vinyl acetate,ethyl alpha-cyanocinnamate,ethyl acetate,70.0,free radical,solvent,0.0,0,0.5637336859191507,0.990313797807968,True,0.04784784261842672,False,0.3490480291616937,True,0.15694838644546255,True,0.024147226195039506,True,0.038059381661136156,False,0.29753855404448876,False,0.348975590196996,False,0.348975590196996,False,0.383016193128683
maleic anhydride,acrylonitrile,benzene,60.0,free radical,solvent,0.0003,0,0.5281783161417426,0.7165431136653913,False,0.30111878369454154,False,0.5817894362309793,True,0.13723268539899217,False,0.27115688735608084,False,0.2617457987293307,True,0.09063717038970234,True,0.21125506806301428,True,0.21125506806301428,True,0.16762853096435218
isobornyl acrylate,butyl acrylate,"N,N-dimethylformamide",80.0,free radical,solvent,1.3,1,0.5735293703576922,0.786283406618952,False,0.2365028064623669,False,0.5320204535788452,True,0.054545993131687245,False,0.20398452353506416,False,0.1974162752814015,True,0.09872614974937267,True,0.19130719236601346,True,0.19130719236601346,True,0.1892316863006285
N-vinylpyrrolidone,3-ethyl-1-vinyl-2-pyrrolidone,ethanol,70.0,reversible addition-fragmentation chain transfer,solvent,1.015895,1,0.4116188493684377,0.6023756094662093,False,0.4303205286924296,False,0.672972525878213,False,0.29729715725608064,False,0.4058369564354839,False,0.39340511021799274,False,0.2261806255555317,False,0.33680207033312665,False,0.33680207033312665,True,0.2551440946284509
